Season, Home, Away, HG, AG, Result, Before: P[Home], Before: P[Draw], Before: P[Away], Before: Sum, After: P[Home], After: P[Draw], After: P[Away], After: Sum
14-15, Stoke, Man City, 1, 4, A, 0.159193875957, 0.347289486018, 0.493516638025, 1.0, 0.159193875957, 0.347289486018, 0.493516638025, 1.0
14-15, West Brom, Swansea, 2, 0, H, 0.345650500385, 0.366050808314, 0.288298691301, 1.0, 0.443802925327, 0.432615473441, 0.123581601232, 1.0
14-15, Aston Villa, Stoke, 1, 2, A, 0.328046421663, 0.364603481625, 0.307350096712, 1.0, 0.258781431334, 0.364603481625, 0.376615087041, 1.0
14-15, Chelsea, Burnley, 1, 1, D, 0.666147859922, 0.282985496993, 0.0508666430845, 0.999999999999, 0.544255394411, 0.354686947294, 0.101057658295, 1.0
14-15, Crystal Palace, Arsenal, 1, 2, A, 0.180461104661, 0.355448664787, 0.464090230552, 1.0, 0.180461104661, 0.355448664787, 0.464090230552, 1.0
14-15, Hull, QPR, 2, 1, H, 0.417242633685, 0.356675154602, 0.226082211713, 1.0, 0.475518370317, 0.356675154602, 0.167806475081, 1.0
14-15, Man City, Newcastle, 5, 0, H, 0.617248616676, 0.308338103415, 0.0744132799084, 0.999999999999, 0.617248616676, 0.308338103415, 0.0744132799084, 0.999999999999
14-15, Sunderland, West Brom, 0, 0, D, 0.336298588281, 0.35969831754, 0.304003094179, 1.0, 0.336298588281, 0.35969831754, 0.304003094179, 1.0
14-15, Swansea, Man United, 2, 1, H, 0.215640658554, 0.366141732283, 0.418217609162, 0.999999999999, 0.294076592699, 0.410511811023, 0.295411596277, 0.999999999999
14-15, Everton, Leicester, 2, 2, D, 0.467021985343, 0.351765489674, 0.181212524983, 1.0, 0.356822118588, 0.416588940707, 0.226588940706, 1.0
14-15, Southampton, Liverpool, 0, 2, A, 0.327234206471, 0.376155624037, 0.296610169492, 1.0, 0.221725731895, 0.376155624037, 0.402118644068, 1.0
14-15, Tottenham, West Ham, 2, 2, D, 0.451623759044, 0.365471983847, 0.182904257109, 1.0, 0.343753996298, 0.428924785462, 0.22732121824, 1.0
14-15, Burnley, Swansea, 0, 1, A, 0.322017644802, 0.373993095512, 0.303989259685, 0.999999999999, 0.252416570771, 0.373993095512, 0.373590333717, 0.999999999999
14-15, Man United, Sunderland, 2, 0, H, 0.609099546078, 0.304021957141, 0.0868784967803, 0.999999999999, 0.609099546078, 0.304021957141, 0.0868784967803, 0.999999999999
14-15, Newcastle, Aston Villa, 1, 0, H, 0.442936673626, 0.352470424495, 0.204592901879, 1.0, 0.498643006263, 0.352470424495, 0.148886569242, 1.0
14-15, Stoke, Hull, 1, 0, H, 0.445699391833, 0.352562988705, 0.201737619461, 0.999999999999, 0.50112945265, 0.352562988705, 0.146307558644, 0.999999999999
14-15, West Brom, Southampton, 1, 0, H, 0.266326915817, 0.361268403171, 0.372404681012, 1.0, 0.339694224235, 0.405979614949, 0.254326160816, 1.0
14-15, West Ham, Crystal Palace, 1, 3, A, 0.400914913083, 0.367795059469, 0.231290027447, 0.999999999999, 0.239702653248, 0.462625800549, 0.297671546203, 0.999999999999
14-15, Arsenal, Everton, 2, 0, H, 0.517361595314, 0.352112676056, 0.130525728629, 0.999999999999, 0.589757356017, 0.352112676056, 0.0581299679261, 0.999999999999
